Set,No,Pool,Sub-Pool,#s,Count,Name,Reprint,Sub-Pool: Resource,Sub-Pool: Cost,Sub-Pool: Card Type,Duplicate Calc,Summary,
A:T,33,Aspect,Protection,-,3,Second Wind,,Aspect: ProtectionMental,Aspect: Protection3,Aspect: ProtectionEvent,A:T,A:TAspect: Protection,A:T3
A:T,34,Basic,,-,3,Enhanced Physique,,Basic: Physical,Basic: 2,Basic: Upgrade,A:T,A:TBasic,A:T3
A:BW,1A,Hero,Black Widow,-,1,Black Widow,,Hero: Black Widow-,Hero: Black Widow-,Hero: Black Widow Hero,A:BW,A:BWHero,A:BW1
A:BW,1B,Hero,Black Widow,-,-,Natasha Romanoff,,Hero: Black Widow-,Hero: Black Widow-,Hero: Black Widow Alter-Ego,A:BW,A:BWHero,A:BW-
A:BW,2,Hero,Black Widow,1,1,Winter Soldier / Bucky Barnes,,Hero: Black WidowWild,Hero: Black Widow4,Hero: Black WidowAlly,A:BW,A:BWHero,A:BW1
A:BW,3,Hero,Black Widow,2-3,2,Covert Ops,,Hero: Black WidowMental,Hero: Black Widow3,Hero: Black WidowEvent,A:BW,A:BWHero,A:BW2
A:BW,4,Hero,Black Widow,4-5,2,Dance of Death,,Hero: Black WidowEnergy,Hero: Black Widow3,Hero: Black WidowEvent,A:BW,A:BWHero,A:BW2
A:BW,5,Hero,Black Widow,6,1,Safe House #29,,Hero: Black WidowPhysical,Hero: Black Widow1,Hero: Black WidowSupport,A:BW,A:BWHero,A:BW1
A:BW,6,Hero,Black Widow,7-8,2,Attacrobatics,,Hero: Black WidowPhysical,Hero: Black Widow1,Hero: Black WidowUpgrade,A:BW,A:BWHero,A:BW2
A:BW,7,Hero,Black Widow,9-10,2,Black Widow's Gauntlet,,Hero: Black WidowPhysical,Hero: Black Widow1,Hero: Black WidowUpgrade,A:BW,A:BWHero,A:BW2
A:BW,8,Hero,Black Widow,11-12,2,Grappling Hook,,Hero: Black WidowMental,Hero: Black Widow2,Hero: Black WidowUpgrade,A:BW,A:BWHero,A:BW2
A:BW,9,Hero,Black Widow,13,1,Synth-Suit,,Hero: Black WidowEnergy,Hero: Black Widow3,Hero: Black WidowUpgrade,A:BW,A:BWHero,A:BW1
A:BW,10,Hero,Black Widow,14-15,2,Widow's Bite,,Hero: Black WidowEnergy,Hero: Black Widow1,Hero: Black WidowUpgrade,A:BW,A:BWHero,A:BW2
A:BW,11,Aspect,Justice,-,1,Agent Coulson,,Aspect: JusticeMental,Aspect: Justice3,Aspect: JusticeAlly,A:BW,A:BWAspect: Justice,A:BW1
A:BW,12,Aspect,Justice,-,1,Quake / Daisy Johnson,,Aspect: JusticeEnergy,Aspect: Justice2,Aspect: JusticeAlly,A:BW,A:BWAspect: Justice,A:BW1
A:BW,13,Aspect,Justice,-,3,Stealth Strike,,Aspect: JusticeMental,Aspect: Justice3,Aspect: JusticeEvent,A:BW,A:BWAspect: Justice,A:BW3
A:BW,14,Aspect,Justice,-,2,The Power of Justice,.R,Aspect: JusticeWild,Aspect: Justice-,Aspect: JusticeResource,A:BW.R,A:BWAspect: Justice,A:BW2
A:BW,15,Aspect,Justice,-,2,Interrogation Room,.C,Aspect: JusticeEnergy,Aspect: Justice1,Aspect: JusticeSupport,A:BW.C,A:BWAspect: Justice,A:BW2
A:BW,16,Aspect,Justice,-,2,Surveillance Team,.C,Aspect: JusticeMental,Aspect: Justice2,Aspect: JusticeSupport,A:BW.C,A:BWAspect: Justice,A:BW2
A:BW,17,Aspect,Justice,-,3,Counterintelligence,,Aspect: JusticeEnergy,Aspect: Justice2,Aspect: JusticeUpgrade,A:BW,A:BWAspect: Justice,A:BW3
A:BW,18,Aspect,Justice,-,3,Spycraft,,Aspect: JusticePhysical,Aspect: Justice1,Aspect: JusticeUpgrade,A:BW,A:BWAspect: Justice,A:BW3
A:BW,19,Basic,,-,1,Nick Fury,.C,Basic: Mental,Basic: 4,Basic: Ally,A:BW.C,A:BWBasic,A:BW1
A:BW,20,Basic,,-,1,Energy,.R,Basic: Energy,Basic: -,Basic: Resource,A:BW.R,A:BWBasic,A:BW1
A:BW,21,Basic,,-,1,Genius,.R,Basic: Mental,Basic: -,Basic: Resource,A:BW.R,A:BWBasic,A:BW1
A:BW,22,Basic,,-,1,Strength,.R,Basic: Physical,Basic: -,Basic: Resource,A:BW.R,A:BWBasic,A:BW1
A:BW,23,Basic,,-,1,Quincarrier,,Basic: Mental,Basic: 1,Basic: Support,A:BW,A:BWBasic,A:BW1
A:BW,24,Basic,,-,3,Target Acquired,,Basic: Physical,Basic: 1,Basic: Upgrade,A:BW,A:BWBasic,A:BW3
A:BW,25,Obligation,Black Widow,-,1,Burn Notice,,Obligation: Black Widow2,Obligation: Black Widow-,Obligation: Black WidowObligation,A:BW,A:BWObligation,A:BW1
A:BW,26,Nemesis,Black Widow,1,1,Killer For Hire,,Nemesis: Black Widow3,Nemesis: Black Widow3+1P,Nemesis: Black WidowSide-Scheme (S),A:BW,A:BWNemesis,A:BW1
A:BW,27,Nemesis,Black Widow,2,1,Taskmaster,,Nemesis: Black Widow☆,Nemesis: Black Widow-,Nemesis: Black WidowMinion (S),A:BW,A:BWNemesis,A:BW1
A:BW,28,Nemesis,Black Widow,3-4,2,Hydra Mercenary,.Sc,Nemesis: Black Widow1,Nemesis: Black Widow-,Nemesis: Black WidowMinion,A:BW.Sc,A:BWNemesis,A:BW2
A:BW,29,Nemesis,Black Widow,5,1,Deadly Shot,,Nemesis: Black Widow1,Nemesis: Black Widow-,Nemesis: Black WidowTreachery,A:BW,A:BWNemesis,A:BW1
A:BW,30,Aspect,Aggression,-,3,Counterattack,,Aspect: AggressionPhysical,Aspect: Aggression1,Aspect: AggressionUpgrade,A:BW,A:BWAspect: Aggression,A:BW3
A:BW,31,Aspect,Leadership,-,3,Rapid Response,,Aspect: LeadershipMental,Aspect: Leadership2,Aspect: LeadershipUpgrade,A:BW,A:BWAspect: Leadership,A:BW3
A:BW,32,Aspect,Protection,-,3,Defensive Stance,,Aspect: ProtectionEnergy,Aspect: Protection2,Aspect: ProtectionUpgrade,A:BW,A:BWAspect: Protection,A:BW3
A:BW,33,Basic,,-,3,Espionage,,Basic: Physical,Basic: 1,Basic: Upgrade,A:BW,A:BWBasic,A:BW3
A:DS,1A,Hero,Doctor Strange,-,1,Doctor Strange,,Hero: Doctor Strange-,Hero: Doctor Strange-,Hero: Doctor Strange Hero,A:DS,A:DSHero,A:DS1
A:DS,1B,Hero,Doctor Strange,-,-,Stephen Strange,,Hero: Doctor Strange-,Hero: Doctor Strange-,Hero: Doctor Strange Alter-Ego,A:DS,A:DSHero,A:DS-
A:DS,2,Hero,Doctor Strange,1,1,Wong,,Hero: Doctor StrangeWild,Hero: Doctor Strange3,Hero: Doctor StrangeAlly,A:DS,A:DSHero,A:DS1
A:DS,3,Hero,Doctor Strange,2-3,2,Astral Projection,,Hero: Doctor StrangeMental,Hero: Doctor Strange2,Hero: Doctor StrangeEvent,A:DS,A:DSHero,A:DS2
A:DS,4,Hero,Doctor Strange,4-5,2,Magic Blast,,Hero: Doctor StrangeEnergy,Hero: Doctor Strange3,Hero: Doctor StrangeEvent,A:DS,A:DSHero,A:DS2
A:DS,5,Hero,Doctor Strange,6-7,2,Master of the Mystic Arts,,Hero: Doctor StrangeMental,Hero: Doctor Strange1,Hero: Doctor StrangeEvent,A:DS,A:DSHero,A:DS2
A:DS,6,Hero,Doctor Strange,8,1,Mystical Studies,,Hero: Doctor StrangePhysical,Hero: Doctor Strange1,Hero: Doctor StrangeEvent,A:DS,A:DSHero,A:DS1
A:DS,7,Hero,Doctor Strange,9-10,2,Protective Ward,,Hero: Doctor StrangePhysical,Hero: Doctor Strange1,Hero: Doctor StrangeEvent,A:DS,A:DSHero,A:DS2
A:DS,8,Hero,Doctor Strange,11,1,Sanctum Sanctorum,,Hero: Doctor StrangeMental,Hero: Doctor Strange1,Hero: Doctor StrangeSupport,A:DS,A:DSHero,A:DS1
A:DS,9,Hero,Doctor Strange,12,1,Cloak of Levitation,,Hero: Doctor StrangePhysical,Hero: Doctor Strange2,Hero: Doctor StrangeUpgrade,A:DS,A:DSHero,A:DS1
A:DS,10,Hero,Doctor Strange,13-14,2,Magical Enhancements,,Hero: Doctor StrangeEnergy,Hero: Doctor Strange1,Hero: Doctor StrangeUpgrade,A:DS,A:DSHero,A:DS2
A:DS,11,Hero,Doctor Strange,15,1,The Eye of Agamotto,,Hero: Doctor StrangeEnergy,Hero: Doctor Strange2,Hero: Doctor StrangeUpgrade,A:DS,A:DSHero,A:DS1
A:DS,12,Aspect,Protection,-,1,Brother Voodoo / Jericho Drumm,,Aspect: ProtectionMental,Aspect: Protection3,Aspect: ProtectionAlly,A:DS,A:DSAspect: Protection,A:DS1
A:DS,13,Aspect,Protection,-,1,Clea,,Aspect: ProtectionPhysical,Aspect: Protection2,Aspect: ProtectionAlly,A:DS,A:DSAspect: Protection,A:DS1
A:DS,14,Aspect,Protection,-,1,Iron Fist / Danny Rand,,Aspect: ProtectionPhysical,Aspect: Protection4,Aspect: ProtectionAlly,A:DS,A:DSAspect: Protection,A:DS1
A:DS,15,Aspect,Protection,-,3,Desperate Defense,,Aspect: ProtectionEnergy,Aspect: Protection1,Aspect: ProtectionEvent,A:DS,A:DSAspect: Protection,A:DS3
A:DS,16,Aspect,Protection,-,3,Momentum Shift,,Aspect: ProtectionPhysical,Aspect: Protection2,Aspect: ProtectionEvent,A:DS,A:DSAspect: Protection,A:DS3
A:DS,17,Aspect,Protection,-,2,The Power of Protection,.R,Aspect: ProtectionWild,Aspect: Protection-,Aspect: ProtectionResource,A:DS.R,A:DSAspect: Protection,A:DS2
A:DS,18,Aspect,Protection,-,2,Med Team,.C,Aspect: ProtectionEnergy,Aspect: Protection3,Aspect: ProtectionSupport,A:DS.C,A:DSAspect: Protection,A:DS2
A:DS,19,Aspect,Protection,-,1,The Night Nurse,,Aspect: ProtectionMental,Aspect: Protection1,Aspect: ProtectionSupport,A:DS,A:DSAspect: Protection,A:DS1
A:DS,20,Aspect,Protection,-,3,Unflappable,,Aspect: ProtectionMental,Aspect: Protection2,Aspect: ProtectionUpgrade,A:DS,A:DSAspect: Protection,A:DS3
A:DS,21,Basic,,-,3,Warning,,Basic: Physical,Basic: 0,Basic: Event,A:DS,A:DSBasic,A:DS3
A:DS,22,Basic,,-,1,Energy,.R,Basic: Energy,Basic: -,Basic: Resource,A:DS.R,A:DSBasic,A:DS1
A:DS,23,Basic,,-,1,Genius,.R,Basic: Mental,Basic: -,Basic: Resource,A:DS.R,A:DSBasic,A:DS1
A:DS,24,Basic,,-,1,Strength,.R,Basic: Physical,Basic: -,Basic: Resource,A:DS.R,A:DSBasic,A:DS1
A:DS,25,Basic,,-,1,Avengers Mansion,.C,Basic: Mental,Basic: 4,Basic: Support,A:DS.C,A:DSBasic,A:DS1
A:DS,26,Basic,,-,1,The Sorcerer Supreme,,Basic: Mental,Basic: 2,Basic: Upgrade,A:DS,A:DSBasic,A:DS1
A:DS,27,Obligation,Doctor Strange,-,1,Physical Toll,,Obligation: Doctor Strange2,Obligation: Doctor Strange-,Obligation: Doctor StrangeObligation,A:DS,A:DSObligation,A:DS1
A:DS,28,Nemesis,Doctor Strange,1,1,Baron Mordo,,Nemesis: Doctor Strange2,Nemesis: Doctor Strange-,Nemesis: Doctor StrangeMinion (S),A:DS,A:DSNemesis,A:DS1
A:DS,29,Nemesis,Doctor Strange,2,1,Open the Dark Dimension,,Nemesis: Doctor Strange3,Nemesis: Doctor Strange3P,Nemesis: Doctor StrangeSide-Scheme (S),A:DS,A:DSNemesis,A:DS1
A:DS,30,Nemesis,Doctor Strange,3-4,2,Counterspell,,Nemesis: Doctor Strange1,Nemesis: Doctor Strange-,Nemesis: Doctor StrangeAttachment,A:DS,A:DSNemesis,A:DS2
A:DS,31,Nemesis,Doctor Strange,5,1,Thoughtcasting,,Nemesis: Doctor Strange1,Nemesis: Doctor Strange-,Nemesis: Doctor StrangeTreachery,A:DS,A:DSNemesis,A:DS1
A:DS,32,Invocation,Doctor Strange,1,1,Crimson Bands of Cyttorak,,Invocation: Doctor Strange-,Invocation: Doctor Strange2,Invocation: Doctor StrangeEvent,A:DS,A:DSInvocation,A:DS1
A:DS,33,Invocation,Doctor Strange,2,1,Images of Ikonn,,Invocation: Doctor Strange-,Invocation: Doctor Strange1,Invocation: Doctor StrangeEvent,A:DS,A:DSInvocation,A:DS1
A:DS,34,Invocation,Doctor Strange,3,1,Seven Rings of Raggadorr,,Invocation: Doctor Strange-,Invocation: Doctor Strange1,Invocation: Doctor StrangeEvent,A:DS,A:DSInvocation,A:DS1
A:DS,35,Invocation,Doctor Strange,4,1,Vapors of Valtorr,,Invocation: Doctor Strange-,Invocation: Doctor Strange0,Invocation: Doctor StrangeEvent,A:DS,A:DSInvocation,A:DS1
A:DS,36,Invocation,Doctor Strange,5,1,Winds of Watoomb,,Invocation: Doctor Strange-,Invocation: Doctor Strange0,Invocation: Doctor StrangeEvent,A:DS,A:DSInvocation,A:DS1
A:DS,37,Aspect,Aggression,-,3,Skilled Strike,,Aspect: AggressionPhysical,Aspect: Aggression0,Aspect: AggressionEvent,A:DS,A:DSAspect: Aggression,A:DS3
A:DS,38,Aspect,Justice,-,3,Foiled!,,Aspect: JusticeEnergy,Aspect: Justice3,Aspect: JusticeEvent,A:DS,A:DSAspect: Justice,A:DS3
A:DS,39,Aspect,Leadership,-,1,Iron Man / Tony Stark,,Aspect: LeadershipWild,Aspect: Leadership4,Aspect: LeadershipAlly,A:DS,A:DSAspect: Leadership,A:DS1
A:H,1A,Hero,Hulk,-,1,Bruce Banner,,Hero: Hulk-,Hero: Hulk-,Hero: Hulk Alter-Ego,A:H,A:HHero,A:H1
A:H,1B,Hero,Hulk,-,-,Hulk,,Hero: Hulk-,Hero: Hulk-,Hero: Hulk Hero,A:H,A:HHero,A:H-
A:H,2,Hero,Hulk,1-2,2,Crushing Blow,,Hero: HulkPhysical,Hero: Hulk1,Hero: HulkEvent,A:H,A:HHero,A:H2
A:H,3,Hero,Hulk,3-4,2,Hulk Smash,,Hero: HulkPhysical,Hero: Hulk3,Hero: HulkEvent,A:H,A:HHero,A:H2
A:H,4,Hero,Hulk,5-6,2,Suborbital Leap,,Hero: HulkPhysical,Hero: Hulk3,Hero: HulkEvent,A:H,A:HHero,A:H2
A:H,5,Hero,Hulk,7-8,2,Thunderclap,,Hero: HulkPhysical,Hero: Hulk3,Hero: HulkEvent,A:H,A:HHero,A:H2
A:H,6,Hero,Hulk,9-10,2,Unstoppable Force,,Hero: HulkPhysical,Hero: Hulk2,Hero: HulkEvent,A:H,A:HHero,A:H2
A:H,7,Hero,Hulk,11-12,2,Limitless Strength,,Hero: HulkPhysical,Hero: Hulk-,Hero: HulkResource,A:H,A:HHero,A:H2
A:H,8,Hero,Hulk,13,1,Banner's Laboratory,,Hero: HulkMental,Hero: Hulk2,Hero: HulkSupport,A:H,A:HHero,A:H1
A:H,9,Hero,Hulk,14,1,Boundless Rage,,Hero: HulkPhysical,Hero: Hulk1,Hero: HulkUpgrade,A:H,A:HHero,A:H1
A:H,10,Hero,Hulk,15,1,Immovable Object,,Hero: HulkPhysical,Hero: Hulk3,Hero: HulkUpgrade,A:H,A:HHero,A:H1
A:H,11,Aspect,Aggression,-,1,Brawn / Amadeus Cho,,Aspect: AggressionMental,Aspect: Aggression3,Aspect: AggressionAlly,A:H,A:HAspect: Aggression,A:H1
A:H,12,Aspect,Aggression,-,1,Sentry / Robert Reynolds,,Aspect: AggressionEnergy,Aspect: Aggression4,Aspect: AggressionAlly,A:H,A:HAspect: Aggression,A:H1
A:H,13,Aspect,Aggression,-,1,She-Hulk / Jennifer Walters,,Aspect: AggressionPhysical,Aspect: Aggression4,Aspect: AggressionAlly,A:H,A:HAspect: Aggression,A:H1
A:H,14,Aspect,Aggression,-,3,Drop Kick,,Aspect: AggressionPhysical,Aspect: Aggression3,Aspect: AggressionEvent,A:H,A:HAspect: Aggression,A:H3
A:H,15,Aspect,Aggression,-,3,Toe to Toe,,Aspect: AggressionPhysical,Aspect: Aggression1,Aspect: AggressionEvent,A:H,A:HAspect: Aggression,A:H3
A:H,16,Aspect,Aggression,-,3,"""You'll Pay for That!""",,Aspect: AggressionEnergy,Aspect: Aggression1,Aspect: AggressionEvent,A:H,A:HAspect: Aggression,A:H3
A:H,17,Aspect,Aggression,-,2,The Power of Aggression,.R,Aspect: AggressionWild,Aspect: Aggression-,Aspect: AggressionResource,A:H.R,A:HAspect: Aggression,A:H2
A:H,18,Aspect,Aggression,-,3,Martial Prowess,,Aspect: AggressionPhysical,Aspect: Aggression2,Aspect: AggressionUpgrade,A:H,A:HAspect: Aggression,A:H3
A:H,19,Basic,,-,3,To the Rescue,,Basic: Physical,Basic: 2,Basic: Event,A:H,A:HBasic,A:H3
A:H,20,Basic,,-,1,Energy,.R,Basic: Energy,Basic: -,Basic: Resource,A:H.R,A:HBasic,A:H1
A:H,21,Basic,,-,1,Genius,.R,Basic: Mental,Basic: -,Basic: Resource,A:H.R,A:HBasic,A:H1
A:H,22,Basic,,-,1,Strength,.R,Basic: Physical,Basic: -,Basic: Resource,A:H.R,A:HBasic,A:H1
A:H,23,Basic,,-,1,Avengers Mansion,.C,Basic: Mental,Basic: 4,Basic: Support,A:H.C,A:HBasic,A:H1
A:H,24,Basic,,-,1,Helicarrier,.C,Basic: Physical,Basic: 3,Basic: Support,A:H.C,A:HBasic,A:H1
A:H,25,Obligation,Hulk,-,1,Inner Demons,,Obligation: Hulk3,Obligation: Hulk-,Obligation: HulkObligation,A:H,A:HObligation,A:H1
A:H,26,Nemesis,Hulk,1,1,Abomination,,Nemesis: Hulk3,Nemesis: Hulk-,Nemesis: HulkMinion (S),A:H,A:HNemesis,A:H1
A:H,27,Nemesis,Hulk,2,1,Total Destruction,,Nemesis: Hulk3,Nemesis: Hulk2P,Nemesis: HulkSide-Scheme (S),A:H,A:HNemesis,A:H1
A:H,28,Nemesis,Hulk,3,3,Clash of the Titans,,Nemesis: Hulk3,Nemesis: Hulk-,Nemesis: HulkTreachery,A:H,A:HNemesis,A:H3
A:H,29,Aspect,Justice,-,3,Beat Cop,,Aspect: JusticePhysical,Aspect: Justice3,Aspect: JusticeSupport,A:H,A:HAspect: Justice,A:H3
A:H,30,Aspect,Leadership,-,3,Inspiring Presence,,Aspect: LeadershipMental,Aspect: Leadership1,Aspect: LeadershipEvent,A:H,A:HAspect: Leadership,A:H3
A:H,31,Aspect,Protection,-,3,Electrostatic Armor,,Aspect: ProtectionEnergy,Aspect: Protection1,Aspect: ProtectionUpgrade,A:H,A:HAspect: Protection,A:H3
A:H,32,Basic,,-,3,Resourceful,,Basic: Wild,Basic: 1,Basic: Upgrade,A:H,A:HBasic,A:H3
R,1,Module,Kree Fanatic,1,1,Ronan the Accuser,,Module: Kree Fanatic☆,Module: Kree Fanatic-,Module: Kree FanaticMinion,R,RModule,R1
R,2,Module,Kree Fanatic,2,1,"Judge, Jury, Executioner",,Module: Kree Fanatic☆,Module: Kree Fanatic3P,Module: Kree FanaticSide-Scheme,R,RModule,R1
R,3,Module,Kree Fanatic,3,1,The Accused,,Module: Kree Fanatic☆,Module: Kree Fanatic-,Module: Kree FanaticAttachment,R,RModule,R1
R,4,Module,Kree Fanatic,4-5,2,Bring the Hammer Down,,Module: Kree Fanatic3☆,Module: Kree Fanatic-,Module: Kree FanaticTreachery,R,RModule,R2
R,5,Module,Kree Fanatic,6-7,2,"""You Dare Oppose Me?""",,Module: Kree Fanatic2☆,Module: Kree Fanatic-,Module: Kree FanaticTreachery,R,RModule,R2
A:TRoRS,1A,Hero,Hawkeye,-,1,Hawkeye,,Hero: Hawkeye-,Hero: Hawkeye-,Hero: Hawkeye Hero,A:TRoRS,A:TRoRSHero,A:TRoRS1
A:TRoRS,1B,Hero,Hawkeye,-,-,Clint Barton,,Hero: Hawkeye-,Hero: Hawkeye-,Hero: Hawkeye Alter-Ego,A:TRoRS,A:TRoRSHero,A:TRoRS-
A:TRoRS,2,Hero,Hawkeye,1,1,Hawkeye's Bow,,Hero: HawkeyeWild,Hero: Hawkeye0,Hero: HawkeyeUpgrade,A:TRoRS,A:TRoRSHero,A:TRoRS1
A:TRoRS,3,Hero,Hawkeye,2,1,Hawkeye's Quiver,,Hero: HawkeyeMental,Hero: Hawkeye1,Hero: HawkeyeUpgrade,A:TRoRS,A:TRoRSHero,A:TRoRS1
A:TRoRS,4,Hero,Hawkeye,3,1,Mockingbird / Bobbi Morse (H),,Hero: HawkeyeWild,Hero: Hawkeye3,Hero: HawkeyeAlly,A:TRoRS,A:TRoRSHero,A:TRoRS1
A:TRoRS,5,Hero,Hawkeye,4-5,2,Sonic Arrow,,Hero: HawkeyeMental,Hero: Hawkeye2,Hero: HawkeyeEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,6,Hero,Hawkeye,6-7,2,Explosive Arrow,,Hero: HawkeyePhysical,Hero: Hawkeye1,Hero: HawkeyeEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,7,Hero,Hawkeye,8-9,2,Electric Arrow,,Hero: HawkeyeEnergy,Hero: Hawkeye2,Hero: HawkeyeEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,8,Hero,Hawkeye,10-11,2,Cable Arrow,,Hero: HawkeyePhysical,Hero: Hawkeye1,Hero: HawkeyeEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,9,Hero,Hawkeye,12-13,2,Vibranium Arrow,,Hero: HawkeyeEnergy,Hero: Hawkeye2,Hero: HawkeyeEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,10,Hero,Hawkeye,14-15,2,Expert Marksman,,Hero: HawkeyeWild,Hero: Hawkeye1,Hero: HawkeyeUpgrade,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,11,Aspect,Leadership,-,1,Hawkeye / Kate Bishop,,Aspect: LeadershipPhysical,Aspect: Leadership2,Aspect: LeadershipAlly,A:TRoRS,A:TRoRSAspect: Leadership,A:TRoRS1
A:TRoRS,12,Aspect,Leadership,-,1,Black Knight / Dane Whitman,,Aspect: LeadershipPhysical,Aspect: Leadership3,Aspect: LeadershipAlly,A:TRoRS,A:TRoRSAspect: Leadership,A:TRoRS1
A:TRoRS,13,Aspect,Leadership,-,1,Goliath / Bill Foster,,Aspect: LeadershipMental,Aspect: Leadership4,Aspect: LeadershipAlly,A:TRoRS,A:TRoRSAspect: Leadership,A:TRoRS1
A:TRoRS,14,Aspect,Leadership,-,1,U. S. Agent / John Walker,,Aspect: LeadershipMental,Aspect: Leadership3,Aspect: LeadershipAlly,A:TRoRS,A:TRoRSAspect: Leadership,A:TRoRS1
A:TRoRS,15,Aspect,Leadership,-,3,Sky Cycle,,Aspect: LeadershipEnergy,Aspect: Leadership1,Aspect: LeadershipSupport,A:TRoRS,A:TRoRSAspect: Leadership,A:TRoRS3
A:TRoRS,16,Aspect,Leadership,-,3,Team Training,,Aspect: LeadershipPhysical,Aspect: Leadership2,Aspect: LeadershipSupport,A:TRoRS,A:TRoRSAspect: Leadership,A:TRoRS3
A:TRoRS,17,Aspect,Leadership,-,3,Ready for Action,,Aspect: LeadershipMental,Aspect: Leadership1,Aspect: LeadershipEvent,A:TRoRS,A:TRoRSAspect: Leadership,A:TRoRS3
A:TRoRS,18,Aspect,Leadership,-,2,Lead from the Front,.C,Aspect: LeadershipEnergy,Aspect: Leadership2,Aspect: LeadershipEvent,A:TRoRS.C,A:TRoRSAspect: Leadership,A:TRoRS2
A:TRoRS,19,Aspect,Leadership,-,2,The Power of Leadership,.R,Aspect: LeadershipWild,Aspect: Leadership-,Aspect: LeadershipResource,A:TRoRS.R,A:TRoRSAspect: Leadership,A:TRoRS2
A:TRoRS,20,Basic,,-,1,War Machine / James Rhodes,,Basic: Mental,Basic: 4,Basic: Ally,A:TRoRS,A:TRoRSBasic,A:TRoRS1
A:TRoRS,21,Basic,,-,1,Avengers Tower,.C,Basic: Mental,Basic: 2,Basic: Support,A:TRoRS.C,A:TRoRSBasic,A:TRoRS1
A:TRoRS,22,Basic,,-,3,Earth's Mightiest Heroes,,Basic: Energy,Basic: 0,Basic: Event,A:TRoRS,A:TRoRSBasic,A:TRoRS3
A:TRoRS,23,Basic,,-,1,Energy,.R,Basic: Energy,Basic: -,Basic: Resource,A:TRoRS.R,A:TRoRSBasic,A:TRoRS1
A:TRoRS,24,Basic,,-,1,Genius,.R,Basic: Mental,Basic: -,Basic: Resource,A:TRoRS.R,A:TRoRSBasic,A:TRoRS1
A:TRoRS,25,Basic,,-,1,Strength,.R,Basic: Physical,Basic: -,Basic: Resource,A:TRoRS.R,A:TRoRSBasic,A:TRoRS1
A:TRoRS,26,Obligation,Hawkeye,-,1,Criminal Past,,Obligation: Hawkeye2,Obligation: Hawkeye-,Obligation: HawkeyeObligation,A:TRoRS,A:TRoRSObligation,A:TRoRS1
A:TRoRS,27,Nemesis,Hawkeye,1,1,Marked for Death,,Nemesis: Hawkeye3,Nemesis: Hawkeye5,Nemesis: HawkeyeSide-Scheme (S),A:TRoRS,A:TRoRSNemesis,A:TRoRS1
A:TRoRS,28,Nemesis,Hawkeye,2,1,Crossfire,,Nemesis: Hawkeye☆,Nemesis: Hawkeye-,Nemesis: HawkeyeMinion (S),A:TRoRS,A:TRoRSNemesis,A:TRoRS1
A:TRoRS,29,Nemesis,Hawkeye,3,1,Crossfire's Rifle,,Nemesis: Hawkeye2,Nemesis: Hawkeye-,Nemesis: HawkeyeAttachment,A:TRoRS,A:TRoRSNemesis,A:TRoRS1
A:TRoRS,30,Nemesis,Hawkeye,4-5,2,Sniper Shot,,Nemesis: Hawkeye1,Nemesis: Hawkeye-,Nemesis: HawkeyeTreachery,A:TRoRS,A:TRoRSNemesis,A:TRoRS2
A:TRoRS,31A,Hero,Spider-Woman,-,1,Spider-Woman,,Hero: Spider-Woman-,Hero: Spider-Woman-,Hero: Spider-Woman Hero,A:TRoRS,A:TRoRSHero,A:TRoRS1
A:TRoRS,31B,Hero,Spider-Woman,-,-,Jessica Drew,,Hero: Spider-Woman-,Hero: Spider-Woman-,Hero: Spider-Woman Alter-Ego,A:TRoRS,A:TRoRSHero,A:TRoRS-
A:TRoRS,32,Hero,Spider-Woman,1,1,Captain Marvel / Carol Danvers (H),,Hero: Spider-WomanWild,Hero: Spider-Woman4,Hero: Spider-WomanAlly,A:TRoRS,A:TRoRSHero,A:TRoRS1
A:TRoRS,33,Hero,Spider-Woman,2-3,2,Finesse,,Hero: Spider-WomanMental,Hero: Spider-Woman2,Hero: Spider-WomanUpgrade,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,34,Hero,Spider-Woman,4,1,Jessica Drew's Apartment,,Hero: Spider-WomanPhysical,Hero: Spider-Woman1,Hero: Spider-WomanSupport,A:TRoRS,A:TRoRSHero,A:TRoRS1
A:TRoRS,35,Hero,Spider-Woman,5-6,2,Venom Blast,,Hero: Spider-WomanEnergy,Hero: Spider-Woman2,Hero: Spider-WomanEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,36,Hero,Spider-Woman,7-8,2,Pheremones,,Hero: Spider-WomanPhysical,Hero: Spider-Woman2,Hero: Spider-WomanEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
A:TRoRS,37,Hero,Spider-Woman,9-10,2,Contaminant Immunity,,Hero: Spider-WomanEnergy,Hero: Spider-Woman2,Hero: Spider-WomanEvent,A:TRoRS,A:TRoRSHero,A:TRoRS2
